"","plot","site","burn","burn.name","letter","plot.name","burn.year","ecoregion","moisture","date","elev","slope","aspect","org","org.tree","ave.arh","ice.2015","resistance.2015","resistance.2016","ice.2016","ERT","seed.trap","Bryoria","Evernia","Usnea","ba.Alcr","ba.Bene","ba.Betsp","ba.Lala","ba.Piba","ba.Picea","ba.Pigl","ba.Pima","ba.Poba","ba.Potr","ba.Salix","ba.Decid","ba.Unknown","Lala.dens","Piba.dens","Picea.dens","Pigl.dens","Pima.dens","Poba.dens","Potr.dens","Unknown.dens","Alcr.dens","Bene.dens","Betsp.dens","Salix.dens","Decid.dens","pima.prop","piba.prop","other.prop","Dom","age.y","DOB_LB","FFMC_LB","DMC_LB","DC_LB","ISI_LB","BUI_LB","FWI_LB","VPD_LB","LCC05_start","LCC05_end","LCC05_consensus","Lat_start","Long_start","Elev_start","Lat_end","Long_end","Elev_end","strata","tree.bio.m2","tree.bio.carbon.m2","tree.bio.cons.m2B","tree.carbon.cons.m2B","BA.ALL","DENSITY.ALL","burn.depth","burn.depth.arh","burn.depthJP","tree.carbon.prefire.m2","tree.bio.prefire.m2","residual.soil.carbon.gCm2","prefire.soil.carbon.gCm2","soil.carbon.cons.gCm2","total.combustion.gCm2","total.prefire.gCm2","prop.total.gcm2.combusted","prop.soil.total.gCm2","sand"
"53","ZF20-11C","ZF20-11","ZF20","Central","C","ZF020-011C",2014,"plains","mesic","29-Jun-15",223.884,0,NA,20.2,24.9,5.016666667,"ICE",80.3,94.5,"no ice","no","yes","not recorded","not recorded","not recorded",0,0,0,0,11.47519077,0,0,16.56614166,0,0,0,0,2.29205364,0,0.233333333,0,0,2.3,0,0,0.1,0,0,0,0,0,0.873417722,0.088607595,0.037974684,"Pima",83,196,87.8462,85.4877,387.978,3.59285,110.246,15.9525,2061.89,20,20,20,61.752234,-116.816996,223.884,61.75244,-116.8167,218,"early JP",6.379178685,3.189589343,1315.435457,657.717729,30.33338607,2.633333333,9.131329979,9.131329979,NA,3189.589343,6379.178685,7859.715658,11489.84303,3630.127374,4287.845103,14679.43238,0.292098836,0.846608795,67.27962363
"54","ZF20-125A","ZF20-125","ZF20","Central","A","ZF020-125A",2014,"plains","mesic","5-Jun-16",202,0,NA,4.95,4.81,8.253333333,NA,NA,NA,NA,"no","no","no","no","yes",0,0,0,0,0,0,0,4.28500148,0,0.042149701,0,0,1.966898801,0,0,0,0,0.133333333,0,0.183333333,0.066666667,0,0,0,0,0,0.347826086,0,0.652173914,"Pima",81,212,89.5571,68.55,490.268,6.2815,101.589,23.047,1156.9,20,20,20,61.59656,-117.151978,201.8,61.596851,-117.151776,214,"sparse conifer",1.333973587,0.666986793,212.424385,106.212193,NA,NA,12.07662113,12.07662113,NA,666.986793,1333.973587,3079.369129,8619.076057,5539.706928,5645.919121,9286.06285,0.607999236,0.981187794,NA
"55","ZF20-125B","ZF20-125","ZF20","Central","B","ZF020-125B",2014,"plains","mesic-subhygric","5-Jun-16",206,0,NA,15.2,14.3,3.95,NA,NA,NA,NA,"no","no","no","no","no",0,0,0,0,10.51491061,0,0,36.24363815,0,0,0,0,5.239522048,0,0.066666667,0,0,1.45,0,0,0.466666667,0,0,0,0,0,0.731092437,0.033613446,0.235294118,"Pima",81,211,89.5079,66.0015,483.613,6.56623,98.4223,23.4113,3714.35,7,7,7,61.596459,-117.154841,206.3,61.596732,-117.154664,206.6,"sparse conifer",18.14382802,9.071914011,3585.039768,1792.519884,NA,NA,7.827844625,7.827844625,NA,9071.914011,18143.82802,11149.77957,14626.30547,3476.525903,5269.045787,23698.21948,0.222339311,0.659801802,NA
"56","ZF20-125C","ZF20-125","ZF20","Central","C","ZF020-125C",2014,"plains","mesic-subxeric","8-Jun-16",197,0,NA,6.76,7.22,3.136666667,NA,NA,NA,NA,"no","no","no","no","no",0,0,0,0,27.97915507,0,0,1.8814213,0,0,0,0,3.982361388,0,0.2,0,0,0.166666667,0,0,0.2,0,0,0,0,0,0.294117647,0.352941176,0.352941176,"Piba",81,212,89.5571,68.55,490.268,6.2815,101.589,23.047,1156.9,20,20,20,61.594791,-117.151046,197.4,61.595038,-117.150733,199.2,"sparse conifer",10.20781008,5.103905042,1653.515813,826.757906,NA,NA,3.34,6.680309219,3.34,5103.905042,10207.81008,NA,NA,NA,NA,NA,NA,NA,NA
"57","ZF20-12A","ZF20-12","ZF20","Central","A","ZF020-012A",2014,"plains","xeric","19-Jun-15",NA,0,NA,6.75,NA,NA,"ICE",89.1,NA,NA,"no","no","not recorded","not recorded","not recorded",0,0,0,0,21.40419435,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Piba",73,197,89.9252,69.5513,409.185,7.58668,97.6202,25.7935,1250.1,7,NA,7,61.7391,-116.83433,NA,NA,NA,NA,"early JP",3.620663219,1.810331609,152.527822,76.263911,21.40419435,0.55,-0.41,NA,0,1810.331609,3620.663219,5060.754553,NA,NA,NA,NA,NA,NA,68.58495267
"58","ZF20-12B","ZF20-12","ZF20","Central","B","ZF020-012B",2014,"plains","mesic","1-Jul-15",223.095,0,NA,26.1,22.2,2.766666667,"NO ICE",98.5,NA,NA,"yes","yes","not recorded","not recorded","not recorded",0,0,0,0,8.856673289,0,0,12.58574377,0,0,0,0,5.040161814,0,0.116666667,0,0,0.6,0,0,0.25,0,0,0,0,0,0.620689655,0.120689655,0.25862069,"Pima",73,197,89.9252,69.5513,409.185,7.58668,97.6202,25.7935,1250.1,9,9,9,61.735526,-116.833622,223.095,61.735773,-116.833362,220.33,"early JP",6.094057561,3.047028781,1033.26264,516.63132,26.48257887,0.966666667,6.927808413,6.927808413,NA,3047.028781,6094.057561,15878.37318,18409.04548,2530.672301,3047.303621,21456.07426,0.142025218,0.830462801,66.28684667
"59","ZF20-34A","ZF20-34","ZF20","Central","A","ZF020-034A",2014,"plains","xeric","28-Jun-15",211.424,0,NA,1.4,NA,NA,"NO ICE",70.3,NA,NA,"no","no","not recorded","not recorded","not recorded",0,0,0,0,26.89164042,0,0,4.321391595,0,0,0,0,0,0,0.366666667,0,0,0.033333333,0,0,0,0,0,0,0,0,0.083333333,0.916666668,0,"Piba",87,212,89.5571,68.55,490.268,6.2815,101.589,23.047,1156.9,20,20,20,61.606805,-117.149564,211.424,61.607129,-117.149298,210.92,"late JP",9.129830944,4.564915472,1212.953991,606.476995,31.21303201,0.4,4.94,NA,4.94,4564.915472,9129.830944,457.9655959,934.0960024,476.1304065,1082.607402,5499.011474,0.196873094,0.439799696,75.96899225
"60","ZF20-34B","ZF20-34","ZF20","Central","B","ZF020-034B",2014,"plains","mesic-subxeric","28-Jun-15",191.974,0,NA,13.05,13.2,2.966666667,"NO ICE",92,NA,NA,"yes","yes","not recorded","not recorded","not recorded",0,0,0,0,6.335545185,0,0,16.22737325,0,0,0,0,0.716806724,0,0.016666667,0,0,0.566666667,0,0,0.016666667,0,0,0,0,0,0.944444443,0.027777778,0.027777778,"Pima",87,211,89.5079,66.0015,483.613,6.56623,98.4223,23.4113,3714.35,20,20,20,61.607539,-117.153469,191.974,61.607788,-117.153273,190.94,"late JP",7.21920754,3.60960377,1552.640221,776.320111,23.27972516,0.6,6.707842563,6.707842563,NA,3609.60377,7219.20754,6546.716696,9325.516657,2778.799961,3555.120072,12935.12043,0.274842441,0.781633223,68.59277709
"61","ZF20-34C","ZF20-34","ZF20","Central","C","ZF020-034C",2014,"plains","mesic","28-Jun-15",190.817,0,NA,11.2,14.1,3.516666667,"NO ICE",83.9,NA,NA,"no","no","not recorded","not recorded","not recorded",0,0,0,0,6.39327195,0,0,4.337099558,0,0,0,0,1.573414321,0,0.016666667,0,0,0.166666667,0,0,0.05,0,0,0,0,0,0.714285714,0.071428573,0.214285714,"Pima",87,211,89.5079,66.0015,483.613,6.56623,98.4223,23.4113,3714.35,20,20,20,61.607776,-117.156656,190.817,61.608027,-117.156515,193.646,"late JP",3.783554341,1.891777171,338.98208,169.49104,12.30378583,0.233333333,7.232943402,7.232943402,NA,1891.777171,3783.554341,6537.935656,9156.214561,2618.278905,2787.769945,11047.99173,0.252332733,0.939201927,66.16111387
"62","ZF20-35A","ZF20-35","ZF20","Central","A","ZF020-035A",2014,"plains","mesic-subhygric","13-Jul-15",214.816,0,NA,18.6,19.7,5.633333333,"NO ICE",98,NA,NA,"no","no","no","no","no",0,0,0,0,9.474781644,0,0,16.68735478,0,0,0,0,16.27305725,0,0.05,0,0,0.316666667,0,0,0.283333333,0,0,0,0,0,0.487179488,0.076923077,0.435897435,"Pima",95,213,91.2119,72.0235,497.438,7.82193,105.763,27.3671,1967.25,9,9,9,61.632267,-117.101575,214.816,61.632549,-117.101336,211.831,"late JP",8.220718529,4.110359265,1920.403969,960.201985,42.43519367,0.65,9.735823723,9.735823723,NA,4110.359265,8220.718529,4893.356487,9596.145139,4702.788652,5662.990637,13706.5044,0.413160823,0.830442597,76.03491272
"63","ZF20-35B","ZF20-35","ZF20","Central","B","ZF020-035B",2014,"plains","mesic","12-Jul-15",218.329,0,NA,4.1,NA,NA,"NO ICE",68.5,NA,NA,"no","no","no","no","no",0,0,0,0,27.03183399,0.41482113,0.117809725,0,0,0,0,0,0.110086643,0,0.383333333,0.066666667,0.016666667,0,0,0,0.016666667,0,0,0,0,0,0,0.793103446,0.206896554,"Piba",95,213,91.2119,72.0235,497.438,7.82193,105.763,27.3671,1967.25,9,9,9,61.631342,-117.105477,218.329,61.631577,-117.105327,219.91,"late JP",8.497629704,4.248814852,1130.996192,565.498096,27.67455148,0.483333333,6,NA,NA,4248.814852,8497.629704,1283.184915,NA,NA,NA,NA,NA,NA,80.975
"64","ZF20-40A","ZF20-40","ZF20","Central","A","ZF020-040A",2014,"plains","subxeric","22-Jun-15",203.88,0,NA,1.75,0.4,7.9,"NO ICE",53.7,NA,NA,"no","yes","not recorded","not recorded","not recorded",0,0,0,0,0,0,0,9.803732575,0,0,0,0,0,0,0,0,0,1.616666667,0,0,0,0,0,0,0,0,1,0,0,"Pima",167,212,89.5571,68.55,490.268,6.2815,101.589,23.047,1156.9,9,9,9,61.631902,-117.132345,203.88,61.632149,-117.132072,204.332,"late BS",2.432622126,1.216311063,1347.678731,673.839366,9.803732575,1.616666667,11.59359083,11.59359083,NA,1216.311063,2432.622126,1192.848442,3667.394011,2474.54557,3148.384936,4883.705074,0.644671389,0.785973005,58.59610198
"65","ZF20-40B","ZF20-40","ZF20","Central","B","ZF020-040B",2014,"plains","mesic-subhygric","22-Jun-15",204.823,0,NA,29.5,31.7,6.433333333,"ICE",88.3,123.1,"no ice","no","no","not recorded","not recorded","not recorded",0,0,0,0,0,0,0,8.357552756,0,0,0,0,0,0,0,0,0,1.383333333,0,0,0,0,0,0,0,0,1,0,0,"Pima",167,212,89.5571,68.55,490.268,6.2815,101.589,23.047,1156.9,9,7,9,61.632131,-117.130096,204.823,61.632363,-117.129984,202.022,"late BS",1.306988884,0.653494442,620.725925,310.362962,8.357552756,1.383333333,10.95080974,10.95080974,NA,653.494442,1306.988884,18264.60397,23959.96155,5695.357581,6005.720543,24613.456,0.244001515,0.948322111,56.514978655
"66","ZF20-40C","ZF20-40","ZF20","Central","C","ZF020-040C",2014,"plains","xeric","22-Jun-15",211.762,0,NA,2.4,1.1,6.966666667,"NO ICE",73.6,NA,NA,"no","no","not recorded","not recorded","not recorded",0,0,0,0,6.402173129,0,0,5.009923985,0,0,0,0,0.540484836,0,0.083333333,0,0,0.95,0,0,0.05,0,0,0,0,0,0.876923077,0.076923077,0.046153846,"Pima",167,212,89.5571,68.55,490.268,6.2815,101.589,23.047,1156.9,7,7,7,61.632477,-117.126178,211.762,61.63274,-117.12602,203.756,"late BS",3.138049905,1.569024952,685.886384,342.943192,11.95258195,1.083333333,10.61986553,10.61986553,NA,1569.024952,3138.049905,1448.734368,2466.524621,1017.790253,1360.733445,4035.549573,0.337186651,0.747971806,81.27921279
"67","ZF20-43A","ZF20-43","ZF20","Central","A","ZF020-043A",2014,"plains","xeric","11-Jul-15",232.778,0,NA,1.9,0.35,5.766666667,"NO ICE",20.1,NA,NA,"no","no","no","no","no",0,0,0,0,12.4421468,0,0,2.339570229,0,1.415811089,0,0,0.223445777,0,0.066666667,0,0,0.033333333,0,0.016666667,0.05,0,0,0,0,0,0.199999998,0.400000001,0.400000001,"Piba",74,211,88.8106,67.0939,479.355,6.19238,99.4044,22.5721,3898.93,7,7,7,61.955962,-116.506199,232.778,61.956263,-116.506046,241.803,"late BS",5.535227113,2.767613557,493.764567,246.882284,16.4209739,0.166666667,4.44,9.323588771,4.44,2767.613557,5535.227113,988.5403832,1427.32025,438.7798672,685.6621512,4194.933807,0.163450053,0.63993596,80.96548274
"68","ZF20-43B","ZF20-43","ZF20","Central","B","ZF020-043B",2014,"plains","subxeric","11-Jul-15",227.604,0,NA,2.3,2.4,1.966666667,"NO ICE",62.1,NA,NA,"no","no","no","yes","yes",0,0,0,0,13.56893137,0,0,14.87661931,0,1.083980365,0,0,0.792204947,0,0.05,0,0,0.533333333,0,0.016666667,0.033333333,0,0,0,0,0,0.842105263,0.078947368,0.078947368,"Pima",74,211,88.8106,67.0939,479.355,6.19238,99.4044,22.5721,3898.93,7,7,7,61.954022,-116.503907,227.604,61.954317,-116.503695,234.7,"late BS",9.613063943,4.806531971,2206.54706,1103.27353,30.32173599,0.633333333,5.284556825,5.284556825,NA,4806.531971,9613.063943,1696.631785,3014.489735,1317.857949,2421.131479,7821.021706,0.30956716,0.544314904,85.975
"69","ZF20-43C","ZF20-43","ZF20","Central","C","ZF020-043C",2014,"plains","mesic-subhygric","11-Jul-15",227.989,0,NA,25.6,31.4,5.75,"ICE",91.8,NA,NA,"no","yes","no","no","no",0,0,0,0,0,0,0,14.35223514,0,0,0,0,0,0,0,0,0,2.066666667,0,0,0,0,0,0,0,0,1,0,0,"Pima",74,210,95.6459,97.223,488.854,11.7543,129.873,39.0346,4105.74,7,7,7,61.953587,-116.501038,227.989,61.953818,-116.500795,225.867,"late BS",3.735831424,1.867915712,1455.325168,727.662584,14.35223514,2.066666667,10.09262896,10.09262896,NA,1867.915712,3735.831424,21337.65144,26298.29606,4960.644621,5688.307205,28166.21177,0.201954997,0.872077481,85.97850537
"70","ZF20-4A","ZF20-4","ZF20","Central","A","ZF020-004A",2014,"plains","mesic-subxeric","11-Jul-15",220.485,0,NA,5.25,6.75,7.333333333,"NO ICE",49.9,NA,NA,"yes","yes","no","yes","no",0,0,0,0,0,0,0,15.86059231,0,0,0,0,1.036856475,0,0,0,0,0.866666667,0,0,0.016666667,0,0,0,0,0,0.981132075,0,0.018867925,"Pima",150,203,94.5106,115.899,444.55,10.8401,140.332,37.9882,3268.02,7,7,7,61.862593,-116.597344,220.485,61.862833,-116.597218,224.767,"early BS",4.453976111,2.226988056,1220.398227,610.199113,16.89744879,0.883333333,11.51428066,11.51428066,NA,2226.988056,4453.976111,4714.524344,10184.9361,5470.411761,6080.610874,12411.92416,0.489900743,0.899648386,88.55810873
"71","ZF20-4B","ZF20-4","ZF20","Central","B","ZF020-004B",2014,"plains","subxeric","13-Jul-15",239.208,0,NA,4.35,2.5,4.583333333,"ICE",59,79.2,"ice","no","no","no","yes","yes",0,0,0,1.671458191,0,23.10733027,3.844131311,7.615351492,0,0,0,0,0.212057504,0.016666667,0,0.983333333,0.066666667,0.183333333,0,0,0.083333333,0,0,0,0,0,0.1375,0,0.8625,"Pima",91,203,94.5106,115.899,444.55,10.8401,140.332,37.9882,3268.02,7,7,7,61.861109,-116.595506,239.208,61.861404,-116.595197,250.318,"early BS",2.159338558,1.079669279,770.483305,385.241653,36.45032876,1.333333333,8.143022011,8.143022011,NA,1079.669279,2159.338558,1681.905888,3536.360922,1854.455034,2239.696687,4616.030201,0.485199747,0.827993828,76.08183583
